publication,category,language,website,email,phone,fax,address,city,province_state,zip_postal_code,country,subscribe,facebook,twitter,instagram,youtube
BUG Magazine,computer_publications,,www.de-bug.de,,,,,,,,Croatia,,,,,
Call-A.P.P.L.E.,computer_publications,,www.callapple.org,,,,,,,,US,,,,,
Chip,computer_publications,,www.chip.de,,,,,,,,Germany,,,,,
Chip-India,computer_publications,,www.chip.in,,,,,,,,India,,,,,
Component Devloper Magazine,computer_publications,,www.code-magazine.com,,,,,,,,,,,,,
Computer Duniya,computer_publications,,www.computerduniya.in,,,,,,,,India,,,,,
Computer Jagat,computer_publications,,www.computerjagat.org,,,,,,,,India,,,,,
Computer Power User,computer_publications,,www.computerpoweruser.com,,,,,,,,US,,,,,
Computer Scope,computer_publications,,www.computerscope.ie,,,,,,,,Ireland,,,,,
Computer Shopper (UK),computer_publications,,www.computershopper.co.uk,,,,,,,,UK,,,,,
Computer Shopper (US),computer_publications,,www.computershopper.com,,,,,,,,US,,,,,
Computer User,computer_publications,,www.computeruser.com,,,,,,,,US,,,,,
Computer Weekly,computer_publications,,www.computerweekly.com,,,,,,,,UK,,,,,
Computer! Totaal,computer_publications,,www.computertotaal.nl,,,,,,,,Netherlands,,,,,
Computeractive,computer_publications,,www.computeractive.co.uk,,,,,,,,UK,,,,,
Computerra,computer_publications,,www.computerra.ru,,,,,,,,Russia,,,,,
Computerwoche (Germany),computer_publications,,www.computerwoche.de,,,,,,,,Germany,,,,,
Computerworld (Australia),computer_publications,,www.computerworld.com.au,,,,,,,,Australia,,,,,
Computerworld (Brazil),computer_publications,,www.computerworld.com.br,,,,,,,,Brazil,,,,,
Computerworld (Bulgaria),computer_publications,,www.idg.bg,,,,,,,,Bulgaria,,,,,
Computerworld (Canada),computer_publications,,www.itworldcanada.com,,,,,,,,Canada,,,,,
Computerworld (China),computer_publications,,www.computerworld.com.cn,,,,,,,,China,,,,,
Computerworld (Colombia),computer_publications,,www.computerworld.com.co,,,,,,,,Colombia,,,,,
Computerworld (Czech & Slovak),computer_publications,,www.cw.cz,,,,,,,,Czeck & Slovak,,,,,
Computerworld (Danmark),computer_publications,,www.computerworld.dk,,,,,,,,Denmark,,,,,
Computerworld (Italia),computer_publications,,www.idg.it,,,,,,,,Italy,,,,,
Computerworld (Japan),computer_publications,,www.computerworld.jp,,,,,,,,Japan,,,,,
Computerworld (New Zealand),computer_publications,,www.idg.co.nz,,,,,,,,New Zealand,,,,,
Computerworld (Phillipines),computer_publications,,www.computerworld.com.ph,,,,,,,,Phillipines,,,,,
Computerworld (Poland),computer_publications,,www.computerworld.com.pl,,,,,,,,Poland,,,,,
Computerworld (Romania),computer_publications,,www.computerworld.ro,,,,,,,,Romania,,,,,
Computerworld (Russia),computer_publications,,www.osp.ru/cw,,,,,,,,Russia,,,,,
Computerworld (Singapore),computer_publications,,www.computerworld.com.sg,,,,,,,,Singapore,,,,,
Computerworld (US),computer_publications,,www.computerworld.com,,,,,,,,US,,,,,
Computerworld Espana (Spain),computer_publications,,www.idg.es/computerworld,,,,,,,,Spain,,,,,
Computerworld Norge (Norway),computer_publications,,www.computerworld.no,,,,,,,,Norway,,,,,
Computerworld Schweiz (Switzerland),computer_publications,,www.computerworld.ch,,,,,,,,Switzerland,,,,,
Computerworld Szamitastechnika (Hungary),computer_publications,,www.szamitastechnika.hu,,,,,,,,Hungary,,,,,
Computing,computer_publications,,www.computing.pk,,,,,,,,Pakistan,,,,,
Computing (UK),computer_publications,,www.computing.co.uk,,,,,,,,UK,,,,,
c't (Germany),computer_publications,,www.ct.de,,,,,,,,Germany,,,,,
c't (Netherlands),computer_publications,,www.ct.nl,,,,,,,,Netherlands,,,,,
Digit,computer_publications,,www.thinkdigit.com,,,,,,,,India,,,,,
Digit Magazine,computer_publications,,www.digit.ik,,,,,,,,Sri Lanka,,,,,
E-World,computer_publications,,www.eworldthailand.com,,,,,,,,Thailand,,,,,
F1 Magazine,computer_publications,,www.f1-mag.com,,,,,,,,Syria,,,,,
LAPTOP Magazine,computer_publications,,www.laptopmag.com,,,,,,,,US,,,,,
Linux Journal,computer_publications,,www.linuxjournal.com,,,,,,,,US,,,,,
MacCompanion,computer_publications,,www.maccompanion.com,,,,,,,,Online,,,,,
MacFormat,computer_publications,,www.macformat.techradar.com,,,,,,,,UK,,,,,
MacLife,computer_publications,,www.maclife.com,,,,,,,,US,,,,,
MacUser,computer_publications,,www.macuser.co.uk,,,,,,,,UK,,,,,
Macworld (Australia),computer_publications,,www.macworld.com.au,,,,,,,,Australia,,,,,
Macworld (Germany),computer_publications,,www.macweit.de,,,,,,,,Germany,,,,,
Macworld (Italy),computer_publications,,www.macworld.it,,,,,,,,Italy,,,,,
Macworld (Spain),computer_publications,,www.idg.es/macworld,,,,,,,,Spain,,,,,
Macworld (Sweden),computer_publications,,www.macworld.idg.se,,,,,,,,Sweden,,,,,
Macworld (UK),computer_publications,,www.macworld.co.uk,,,,,,,,UK,,,,,
Macworld (US),computer_publications,,www.macworld.com,,,,,,,,US,,,,,
Maximum PC,computer_publications,,www.maximumpc.com,,,,,,,,US,,,,,
Mediamac,computer_publications,,www.mediamac.comon.dk,,,,,,,,Denmark,,,,,
Micro Mart,computer_publications,,www.micromart.co.uk,,,,,,,,UK,,,,,
MikroBitti,computer_publications,,www.mbnet.fi,,,,,,,,Finland,,,,,
Monthly CNews,computer_publications,,www.cnewsvoice.com,,,,,,,,Bangladesh,,,,,
Monthly Computer Barts,computer_publications,,www.computerbarts.com,,,,,,,,Bangladesh,,,,,
NetGuide (Australia),computer_publications,,www.netguide.com.au,,,,,,,,Australia,,,,,
NetGuide (France),computer_publications,,www.netguide.fr,,,,,,,,France,,,,,
PC Advisor,computer_publications,,www.pcadvisor.co.uk,,,,,,,,UK,,,,,
PC Answers,computer_publications,,www.pcanswers.techradar.com,,,,,,,,UK,,,,,
PC Format (South Africa),computer_publications,,www.pcformat.co.za,,,,,,,,South Africa,,,,,
PC Format (UK),computer_publications,,www.pcformat.techradar.com,,,,,,,,UK,,,,,
PC Magazine,computer_publications,,www.pcmag.com,,,,,,,,US,,,,,
PC Novice,computer_publications,,wwwpcnovice.com,,,,,,,,US,,,,,
PC Plus,computer_publications,,www.pcplus.techradar.com,,,,,,,,UK,,,,,
PC Powerplay,computer_publications,,www.pcpowerplay.com.au,,,,,,,,Australia,,,,,
PC Press,computer_publications,,www.pcpress.rs,,,,,,,,Serbia,,,,,
PC Pro,computer_publications,,www.pcpro.uk,,,,,,,,UK,,,,,
PC Today,computer_publications,,www.pctodaythailand.com,,,,,,,,Thailand,,,,,
PC User,computer_publications,,www.pcuser.com.au,,,,,,,,Australia,,,,,
PC Utilities,computer_publications,,www.magnesiummedia.com/pcutilities,,,,,,,,UK,,,,,
PC World (Australia),computer_publications,,www.pcworld.idg.com.au,,,,,,,,Australia,,,,,
PC World (India),computer_publications,,www.pcworld.in,,,,,,,,India,,,,,
PC World (Thailand),computer_publications,,www.idg.com/www/IDGProducts.nsf/0/D1390DE953F8F90F852575F300633849,,,,,,,,Thailand,,,,,
PC World (UK),computer_publications,,www.pcworld.co.uk,,,,,,,,UK,,,,,
PC World (US),computer_publications,,www.pcworld.com,,,,,,,,US,,,,,
PCchip,computer_publications,,www.pcchip.hr,,,,,,,,Croatia,,,,,
PCQuest,computer_publications,,www.pcquest.ciol.com,,,,,,,,India,,,,,
SmartComputing,computer_publications,,www.smartcomputing.com,,,,,,,,US,,,,,
Vidi,computer_publications,,www.vidimedia.com,,,,,,,,Croatia,,,,,
Windows: The Official Magazine,computer_publications,,www.officialwindowsmagazine.com,,,,,,,,UK,,,,,
XAKEP,computer_publications,,www.xakep.ru,,,,,,,,Russia,,,,,
Applied Soft Computing,computer_science_artificial_intelligence_publications,,www.elsevier.com/wps/find/journaldescription.cws_home/621920/description,,,,,,,,,,,,,
Brain and Mind,computer_science_artificial_intelligence_publications,,www.springer.com/biomed/neuroscience/journal/10547,,,,,,,,,,,,,
Bulletin for Studies and Exchanges on Fuzziness and its Applications,computer_science_artificial_intelligence_publications,,www.irit.fr/recherches/RPDMP/BUSEFAL.frame.shtml,,,,,,,,,,,,,
Computer Vision and Image Understanding,computer_science_artificial_intelligence_publications,,www.sciencedirect.com/science/journal/10773142,,,,,,,,,,,,,
Connexions,computer_science_artificial_intelligence_publications,,www.open.ac.uk/Arts/connex,,,,,,,,,,,,,
Electronic Transactions of Artificial Intelligence,computer_science_artificial_intelligence_publications,,www.ida.liu.se/ext/etai,,,,,,,,,,,,,
Fuzzy Sets and Systems,computer_science_artificial_intelligence_publications,,www.elsevier.com/wps/find/journaldescription.cws_home/505545/description,,,,,,,,,,,,,
IEEE Transactions on Fuzzy Systems,computer_science_artificial_intelligence_publications,,www.ieee.org/portal/site/mainsite/menuitem.818c0c39e85ef176fb2275875bac26c8/index.jsp,,,,,,,,,,,,,
IEEE Transactions on Pattern Analysis and Machine Intelligence,computer_science_artificial_intelligence_publications,,www.computer.org/tpami,,,,,,,,,,,,,
Information Sciences,computer_science_artificial_intelligence_publications,,www.elsevier.com/wps/find/journaldescription.cws_home/505730/description,,,,,,,,,,,,,
International Journal of Approximate Reasoning,computer_science_artificial_intelligence_publications,,www.elsevier.com/wps/find/journaldescription.cws_home/505787/description,,,,,,,,,,,,,
International Journal of Computer Vision,computer_science_artificial_intelligence_publications,,www.springerlink.com/content/100272,,,,,,,,,,,,,
International Journal of Intelligent Systems,computer_science_artificial_intelligence_publications,,www3.interscience.wiley.com/journal.36062/home,,,,,,,,,,,,,
"International Journal of Intelligent Systems in Accounting, Finance and Management",computer_science_artificial_intelligence_publications,,www.usc.edu/schools/business/atisp/AI/IJISAFM/forthcom.htm,,,,,,,,,,,,,
"International Journal of Uncertaintly, Fuzziness and Knowledge-Based Systems",computer_science_artificial_intelligence_publications,,www.worldscient.comijufks/ijufks.shtml,,,,,,,,,,,,,
Journal of Aritificial Intelligence Research,computer_science_artificial_intelligence_publications,US,www.cs.washington.edu/research/jair/home.html,,,,,,,,,,,,,
Journal of Automated Reasoning,computer_science_artificial_intelligence_publications,,www.springerlink.com/content/100280,,,,,,,,,,,,,
Journal of Machine Learning Research,computer_science_artificial_intelligence_publications,,www.jmlr.csail.mit.edu,,,,,,,,,,,,,
Journal of Mathematical Imaging and Vision,computer_science_artificial_intelligence_publications,,www.springerlink.com/content/100293,,,,,,,,,,,,,
Journal of Neuroscience,computer_science_artificial_intelligence_publications,,www.jneurosci.org,,,,,,,,,,,,,
Neural Networks Journal,computer_science_artificial_intelligence_publications,,wwwinns.org/nnjournal.asp,,,,,,,,,,,,,
Neurocomputing,computer_science_artificial_intelligence_publications,,www.elsevier.com/wps/find/journaldescription.cws_home/505628/description,,,,,,,,,,,,,
Soft Computing,computer_science_artificial_intelligence_publications,,www.springer.com/engineering/journal/500,,,,,,,,,,,,,
Computational Geometry: Theory and Applications,computer_science_computational_geography_publications,,www.elsevier.com/locate/issn/09257721,,,,,,,,,,,,,
Discrete and Computational Geometry,computer_science_computational_geography_publications,,www.springer.com/math/numbers/journal/454,,,,,,,,,,,,,
International Journal of Computational Geometry and Applications,computer_science_computational_geography_publications,,www.worldscinet.com/jicga/jicga.shtml,,,,,,,,,,,,,
Jeff Erickson's List of Computational Geometry Journals,computer_science_computational_geography_publications,,www.compgeom.cs.uiuc.edu/~jeffe/compgeom/journals.html,,,,,,,,,,,,,
5th. ISORC 2002,computer_science_distributed_computing_publications,,www.dream.eng.uci.edu.isorc2002,,,,,,,,,,,,,
A Note on Distributed Computing,computer_science_distributed_computing_publications,,www.research.sun.com/technical-reports/1994/abstract-29.html,,,,,,,,,,,,,
ACM Transactions on Computer Systems Journal,computer_science_distributed_computing_publications,,www.tocs.acm.org,,,,,,,,,,,,,
Bibliographies on Distributed Computing,computer_science_distributed_computing_publications,,www.ira.uka.de/bibliography/distributed/index/html,,,,,,,,,,,,,
Cluster Computing,computer_science_distributed_computing_publications,,www.springerlink.com/content/1573-7543,,,,,,,,,,,,,
Concurrency and Computation: Practice and Experience,computer_science_distributed_computing_publications,,www3.interscience.wiley.com/journal/117946197/grouphome/home.html,,,,,,,,,,,,,
DISC - International Symposium on DIStributed Computing,computer_science_distributed_computing_publications,,www.disc-conference.org,,,,,,,,,,,,,
DISC 2001,computer_science_distributed_computing_publications,,www.disc2001.di.fc.ul.pt,,,,,,,,,,,,,
Distributed Computing,computer_science_distributed_computing_publications,,www.springer.com/computer/communications/journal/446,,,,,,,,,,,,,
Distributed Systems Engineering,computer_science_distributed_computing_publications,,www.iop.org/EJ/journal/0967-1846,,,,,,,,,,,,,
DOA 2001,computer_science_distributed_computing_publications,,www.cs.rmit.edu.au/conf/doa/2001,,,,,,,,,,,,,
DSMS 2002,computer_science_distributed_computing_publications,,www-vs.informatik.uni-ulm.de:81/projekte/plurix/DSMS02/DSMS_main.htm,,,,,,,,,,,,,
EDOC 2001,computer_science_distributed_computing_publications,,www.informatik.uni-trier.de/~ley/db/conf/edoc/edoc2001.html,,,,,,,,,,,,,
ERSADS 2001,computer_science_distributed_computing_publications,,www.cs.unibo.it/ersads,,,,,,,,,,,,,
High Performance Distributed Computing Symposium,computer_science_distributed_computing_publications,,www.hpdc.org,,,,,,,,,,,,,
HPDC 2001,computer_science_distributed_computing_publications,,www.ece.arizona.edu/~hpdc/hpdc8,,,,,,,,,,,,,
ICDCS 2000,computer_science_distributed_computing_publications,,www.csdl2.computer.org/persagen/DLAbsToc.jsp?resourcePath=/dl/proceedings/&toc=comp/proceedings/icdcs/2000/0601/00/0601toc.xml,,,,,,,,,,,,,
ICDCS 2001,computer_science_distributed_computing_publications,,www.cactus.eas.asu.edu/ICDCS2001,,,,,,,,,,,,,
ICDCS 2002,computer_science_distributed_computing_publications,,www.icdcs2002.di.fc.ul/pt,,,,,,,,,,,,,
IEEE Concurrency Magazine,computer_science_distributed_computing_publications,,www.computer.org/concurrency,,,,,,,,,,,,,
IEEE Internet Computing Magazine,computer_science_distributed_computing_publications,,www.computer.org/portal/site/internet,,,,,,,,,,,,,
IEEE Transactions on Paralell and Distributed Systems Journal,computer_science_distributed_computing_publications,,www.computer.org.tpds,,,,,,,,,,,,,
IEEE/ACM Transactions on Networking Journal,computer_science_distributed_computing_publications,,www.ton.cc.gatech.edu,,,,,,,,,,,,,
IPDPS 2002,computer_science_distributed_computing_publications,,www.ipdps.org/ipdps2002,,,,,,,,,,,,,
Journal of Paralell and Distributed Computing,computer_science_distributed_computing_publications,,www.elsevier.com/wps/cfind/journaldescription.cws_home/622895/description,,,,,,,,,,,,,
Martin Bramlets Publications,computer_science_distributed_computing_publications,,www.edinburgh.bramleynet.co.uk/computing/publications.shtml,,,,,,,,,,,,,
Parallel Processing Letters Journal,computer_science_distributed_computing_publications,,www.ejournals.wspc.com.sg/ppl/ppl.shtml,,,,,,,,,,,,,
PODC 2000,computer_science_distributed_computing_publications,,www.podc.org/podc2000,,,,,,,,,,,,,
"Requirements, Design Points and Recommendations for Conversational Distributed Protocols and Convers",computer_science_distributed_computing_publications,,www.stephanemaes.com/ESSEM/ScientificEmphasis/Proceedings/2001/06/DSR_prot_req_sm_6_1_01.htm,,,,,,,,,,,,,
ACM Crossroads Magazine,computer_science_software_engineering_publications,,www.acm.org/crossroads/doc/indices/features.html#softwareengineering,,,,,,,,,,,,,
ACM Transactions on Software Engineering and Methodology,computer_science_software_engineering_publications,,www.portal.acm.org.browse_dl.cfm?linked=1&part=transaction&idx=J790,,,,,,,,,,,,,
ADTmag.com,computer_science_software_engineering_publications,,www.adtmag.com,,,,,,,,,,,,,
Human Computer Interaction Publications,computer_science_software_engineering_publications,,www.fjield.ch.pub,,,,,,,,,,,,,
IEEE Transactions on Software Engineering,computer_science_software_engineering_publications,,www.computer.org.tse,,,,,,,,,,,,,
Microsoft Systems Journal,computer_science_software_engineering_publications,,www.microsoft.com/msj/default.aspx,,,,,,,,,,,,,
News @ SEI Interactive,computer_science_software_engineering_publications,,www.sei.cmu.edu/news-at-sei,,,,,,,,,,,,,
Software Focus,computer_science_software_engineering_publications,,www.wiley.co.uk/softwarefocus,,,,,,,,,,,,,
ACM Crossroads Magazine,computer_science_software_engineering_publications,,www.acm.org/crossroads/doc/indices/features.html#softwareengineering,,,,,,,,,,,,,
ACM Transactions on Software Engineering and Methodology,computer_science_software_engineering_publications,,www.portal.acm.org.browse_dl.cfm?linked=1&part=transaction&idx=J790,,,,,,,,,,,,,
ADTmag.com,computer_science_software_engineering_publications,,www.adtmag.com,,,,,,,,,,,,,
Human Computer Interaction Publications,computer_science_software_engineering_publications,,www.fjield.ch.pub,,,,,,,,,,,,,
IEEE Transactions on Software Engineering,computer_science_software_engineering_publications,,www.computer.org.tse,,,,,,,,,,,,,
Microsoft Systems Journal,computer_science_software_engineering_publications,,www.microsoft.com/msj/default.aspx,,,,,,,,,,,,,
News @ SEI Interactive,computer_science_software_engineering_publications,,www.sei.cmu.edu/news-at-sei,,,,,,,,,,,,,
Software Focus,computer_science_software_engineering_publications,,www.wiley.co.uk/softwarefocus,,,,,,,,,,,,,
Annals of Combinatronics,computer_science_theoretical_publications,,www.combinatronics.net/aoc,,,,,,,,,,,,,
Annals of Combinatronics,computer_science_theoretical_publications,,www.springer.com/birkhauser.mathematics/journal/373,,,,,,,,,,,,,
Annals of Pure and Applied Logic,computer_science_theoretical_publications,,www.sciencedirect.com/science/journal/01680072,,,,,,,,,,,,,
Archive for Mathematical Logic,computer_science_theoretical_publications,,www.springer.com/math/journal/153,,,,,,,,,,,,,
Australasian Journal of Combinatronics,computer_science_theoretical_publications,,www.ajc.maths.uq.edu.au,,,,,,,,Australia,,,,,
British Combinatorial Bulletin,computer_science_theoretical_publications,,www.cdam.lse.ac.uk/BCB,,,,,,,,UK,,,,,
Bulletin of Symbolic Logic,computer_science_theoretical_publications,,www.math.ucla.edu/~asl/bsltoc.htm,,,,,,,,US,,,,,
Chicago Journal of Theoretical Computer Science,computer_science_theoretical_publications,,www.cjtcs.cs.uchicago.edu,,,,,,,,US,,,,,
Combinatorica,computer_science_theoretical_publications,,www.springer.com/math/numbers/journal/493,,,,,,,,,,,,,
"Combinatronics, Probablity and Computing",computer_science_theoretical_publications,,www.journals.cambridge.org/action/displayJournal?jid=CPC,,,,,,,,UK,,,,,
"Designs, Codes and Cryptography",computer_science_theoretical_publications,,www.springerlink.com/content/100256,,,,,,,,,,,,,
Dicrete Mathematics,computer_science_theoretical_publications,,www.elsevier.com/wps/find/journaldescription.cws_home/505610/description#description,,,,,,,,,,,,,
Discrete and Computational Geometry,computer_science_theoretical_publications,,www.springer.com/math/numbers/journal/454,,,,,,,,,,,,,
Discrete Mathematics and Theoretical Computer Science,computer_science_theoretical_publications,,www.dmtcs.org,,,,,,,,,,,,,
Electronic Colloquium on Computational Complexity,computer_science_theoretical_publications,,www.eccc.hpi-web.de,,,,,,,,Germany,,,,,
Electronic Journal of Combinatronics,computer_science_theoretical_publications,,www.combinatronics.org,,,,,,,,,,,,,
European Journal of Combinatronics,computer_science_theoretical_publications,,www.elsevier.com/locate/issn/0195-6698,,,,,,,,,,,,,
Fundamenta Mathematicae,computer_science_theoretical_publications,,www.journals.impan.gov.pl/fm,,,,,,,,Poland,,,,,
Graphs and Combinatronics,computer_science_theoretical_publications,,www.springer.com/math/numbers/journal/373,,,,,,,,,,,,,
History and Philosophy of Logic,computer_science_theoretical_publications,,www.tandf.co.uk/journals/tf/01445340.html,,,,,,,,UK,,,,,
Information and Computation,computer_science_theoretical_publications,,www.projects.csail.nit.edu/iandc,,,,,,,,,,,,,
Israel Journal of Mathematics,computer_science_theoretical_publications,,www.ma.huji.ac.il/~ijmath,,,,,,,,,,,,,
Journal of Algebraic Combinatronics,computer_science_theoretical_publications,,www.springerlink.com/content/100277,,,,,,,,,,,,,
Journal of Automated Reasoning,computer_science_theoretical_publications,,www.springerlink.com/content/100280,,,,,,,,,,,,,
Journal of Combinatorial Designs,computer_science_theoretical_publications,,www.emba.uvm.edu/~jcd,,,,,,,,,,,,,
Journal of Combinatorial Designs,computer_science_theoretical_publications,,www3.interscience.wiley.com/journal/38682/home,,,,,,,,,,,,,
Journal of Combinatorial Optimization,computer_science_theoretical_publications,,www.springer.com/math/numbers/journal/10878,,,,,,,,,,,,,
Journal of Combinatorial Theory - Series A,computer_science_theoretical_publications,,www.elsevier.com/locate/issn/0097-3165,,,,,,,,,,,,,
Journal of Combinatorial Theory - Series B,computer_science_theoretical_publications,,www.elsevier.com/locate/issn/0095-8956,,,,,,,,,,,,,
Journal of Discrete Mathematical Sciences and Crytography,computer_science_theoretical_publications,,www.tarupublications.com/journals/jdmsc/jdmsc.htm,,,,,,,,,,,,,
Journal of Experimental Alogorithmics,computer_science_theoretical_publications,,www.jea.acm.org,,,,,,,,,,,,,
Journal of Functional and Logic Programming,computer_science_theoretical_publications,,www.danae.uni-meunster.de/lehre/kuchen/JFLP,,,,,,,,Germany,,,,,
Journal of Graph Algorithms and Applications,computer_science_theoretical_publications,,www.cs.brown.edu/sites/jgaa,,,,,,,,US,,,,,
Journal of Graph Theory,computer_science_theoretical_publications,,www3.interscience.wiley.com/journal/35334/home,,,,,,,,,,,,,
Journal of Logic and Computation,computer_science_theoretical_publications,,www.logcom.oxfordjournals.org,,,,,,,,UK,,,,,
Journal of Logic Programming,computer_science_theoretical_publications,,www.informatik.uni-trier.de/~ley/db/journals/jlp,,,,,,,,Germany,,,,,
"Journal of Logic, Language and Information",computer_science_theoretical_publications,,www.springerlink.com/content/100291,,,,,,,,,,,,,
Journal of Mathematical Logic,computer_science_theoretical_publications,,www.worldscinet.com/jml/jml.shtml,,,,,,,,,,,,,
Journal of Philosophical Logic,computer_science_theoretical_publications,,www.springer.com/philosophy/logic/journal/10992,,,,,,,,,,,,,
Journal of Symbolic Logic,computer_science_theoretical_publications,,www.aslonline.org/journals-journal.html,,,,,,,,,,,,,
Journals in Combinatronics,computer_science_theoretical_publications,,www.combinatronics.net/journals,,,,,,,,,,,,,
Logic Journal of the IGPL,computer_science_theoretical_publications,,www.jigpal.oxfordjournals.org,,,,,,,,,,,,,
Mathematical Logic Quarterly,computer_science_theoretical_publications,,www.wiley-vch.de/publish/en/journals/alphabeticindex/2256,,,,,,,,Germany,,,,,
Mathematical Logic Quarterly,computer_science_theoretical_publications,,www.wiley-vch.de/publish/en/journals/alphabeticindex/2256,,,,,,,,Germany,,,,,
Nordic Journal of Philosophical Logic,computer_science_theoretical_publications,,www.hf.uio.no/filosofi/njpl,,,,,,,,,,,,,
Notre Dame Journal of Formal Logic,computer_science_theoretical_publications,,www.nd.edu/~ndjfl,,,,,,,,,,,,,
Reports on Mathematical Logic,computer_science_theoretical_publications,,www.iphils.uj.edu.pl/rml/rml.htm,,,,,,,,Poland,,,,,
Séminaire Lotharingien de Combinatoire,computer_science_theoretical_publications,,www.mat.univie.ac.at/~slc,,,,,,,,,,,,,
SIAM Journal on Discrete Mathematics,computer_science_theoretical_publications,,www.siam.org/journals/sidma/sidma.htm,,,,,,,,,,,,,
SIGACT News Online,computer_science_theoretical_publications,,www.sigact.acm.org/sigactnews/online.html,,,,,,,,,,,,,
Studia Logica,computer_science_theoretical_publications,,www.ifispan.waw.pl/StudiaLogica/welcome.html,,,,,,,,Poland,,,,,
Theoretical Computer Science,computer_science_theoretical_publications,,www.elsevier.com.locate/tcs,,,,,,,,,,,,,
Theory and Practice of Logic Programming Journal (TPLP),computer_science_theoretical_publications,,www.journals.cambridge.org/action/displayJournal?jid=TLP,,,,,,,,UK,,,,,
Theory of Computing,computer_science_theoretical_publications,,www.theoryofcomputing.org,,,,,,,,,,,,,
Transactions on Computational Logic,computer_science_theoretical_publications,,www.tocl.acm.org,,,,,,,,,,,,,
Berkshire MA Condo,condo_publications,,www.berkshiremacondo.com,,,,,,,,US,,,,,
Charleston Condo Living,condo_publications,,www.charlestoncondoliving.com,,,,,,,,US,,,,,
Coastal Condo Living,condo_publications,,www.coastalcondoliving.com,,,,,,,,US,,,,,
Condo & loft Magazine,condo_publications,,www.torontocondos.com/html/condomag.php,,,,,,,,Canada,,,,,
Condo Business,condo_publications,,www.condobusiness.ca,,,,,,,,Canada,,,,,
Condo Central,condo_publications,,www.condocentral.com.ph,,,,,,,,,,,,,
Condo Guide,condo_publications,,www.condoguide.com,,,,,,,,Canada,,,,,
Condo Life,condo_publications,,www.condolifemag.com,,,,,,,,Canada,,,,,
Condo Living,condo_publications,,www.condolivingtv.com,,,,,,,,,,,,,
Condo Management,condo_publications,,www.condomgmt.com,,,,,,,,,,,,,
Condo Monde,condo_publications,,www.condomonde.com,,,,,,,,,,,,,
Florida Condo Living,condo_publications,,www.floridacondoliving.net,,,,,,,,US,,,,,
Gulf Coast Condo Owner,condo_publications,,www.condo-owner.com/coastalflavor.html,,,,,,,,,,,,,
Habitat Magazine,condo_publications,,www.habitatmag.com,,,,,,,,,,,,,
Home Trader,condo_publications,,www.hometrader.ca,,,,,,,,Canada,,,,,
Homes Magazine,condo_publications,,www.homesmag.com,,,,,,,,,,,,,
Ideal Home,condo_publications,,www.idealhomemagazine.co.uk,,,,,,,,UK,,,,,
New Dreamhomes & Condominiums,condo_publications,,www.newdreamhomes.ca,,,,,,,,Canada,,,,,
New England Condominium,condo_publications,,www.condomagazines.com,,,,,,,,US,,,,,
North Carolina Condo Living,condo_publications,,www.northcarolinacondoliving.com,,,,,,,,US,,,,,
South Carolina Condo Living,condo_publications,,www.southcarolinacondoliving.com,,,,,,,,US,,,,,
AGC News & Views,construction_publications,,www.newsmanager.commpartners.com/agcnvws/issues,,,,,,,,,,,,,
Aggregates and Road Building,construction_publications,,www.rocktoroad.com,,,,,,,,,,,,,
Aquatics International,construction_publications,,www.aquaticsintl.com,,,,,,,,,,,,,
Asphalt Contractor Online,construction_publications,,www.forconstructionpros.com/cover/Asphalt-Contractor/2FCP,,,,,,,,,,,,,
Automated Builder Magazine,construction_publications,,www.automatedbuilder.com,,,,,,,,,,,,,
Automation in Construction,construction_publications,,www.sciencedirect.com/science/journal/09265805,,,,,,,,,,,,,
Better Roads,construction_publications,,www.beterroads.com,,,,,,,,,,,,,
Big Builder Online,construction_publications,,www.bigbuilderonline.com,,,,,,,,,,,,,
"Bookmark, Inc.",construction_publications,,www.bookmarki.com,,,,,,,,,,,,,
Bookworkz,construction_publications,,www.bookworkz.com,,,,,,,,,,,,,
BRE Bookshop,construction_publications,,www.brebookshop.com,,,,,,,,,,,,,
Builder,construction_publications,,www.builderonline.com,,,,,,,,,,,,,
Builder and Developer,construction_publications,,www.bdmag.com,,,,,,,,US,,,,,
BuilderBooks.com,construction_publications,,www.builderbooks.com,,,,,,,,,,,,,
BUILDERnews,construction_publications,,www.buildernewsmag.com,,,,,,,,,,,,,
Builders Books Depot,construction_publications,,www.buildersbooksdepot.com,,,,,,,,,,,,,
Builders Booksource,construction_publications,,www.buildersbooksource.com,,,,,,,,,,,,,
Building Services and Environmental Engineering,construction_publications,,www.bsee.co.uk,,,,,,,,UK,,,,,
Building Stone Magazine,construction_publications,,www.buildingstonemagazine.com,,,,,,,,,,,,,
Buildings,construction_publications,,www.buildingsmag.com,,,,,,,,,,,,,
Buildings.com,construction_publications,,www.buildings.com,,,,,,,,,,,,,
Cabinet Maker,construction_publications,,www.cabinetmakerfdm.com,,,,,,,,,,,,,
Cadalyst,construction_publications,,www.cadalyst.com/cadalyst,,,,,,,,,,,,,
California Builder & Engineer,construction_publications,,www.acppubs.com,,,,,,,,US,,,,,
CE News Online,construction_publications,,www.cenews.com,,,,,,,,,,,,,
Cement Americas,construction_publications,,www.cementamericas.com,,,,,,,,,,,,,
Ceramic Industry,construction_publications,,www.ceramicindustry.com,,,,,,,,,,,,,
Chemcial and Engineering News,construction_publications,,www.pubs.acs.org/cen,,,,,,,,,,,,,
